site_id,uid,family,seed,status,intervention_frame,candidate_count,first_failure_frame,first_failure_kind
state_00,8f8f6133aa3add25b4508deb9f69a43d5dc1b700ed0d6c095f75caa9d48b9f72,smooth,970907000,available,74,6,,
state_01,5cb42b2934c0e392ce3a46109c71f4b13063588a522c5dc85ca3e4a385fef1f3,smooth,970907001,available,74,6,,
state_02,b679adfdf204214d50a25fa86712b9aca9d874707a48fc1502277dc5839628ce,smooth,970907002,available,74,6,,
state_03,de5fd8bdc41803a9c60ae3403f1bd816fe3517252f66357cb1585710a3dba6b2,smooth,970907003,available,74,6,,
state_04,56d619efe2ff1c99577c3b877e99299fc95c9d00e6e7fa6fc3f05d97ad74fedb,smooth,970907004,available,74,6,,
state_05,a10896ea2be031cdafcdbbe89fd2752f92e2f6fa02699157324309a45e5d0a6d,smooth,970907005,available,74,6,,
state_06,6db40955407e85f5dc6adf07a506eeb36af9baf5558e90c1d5d660b23f50f090,smooth,970907006,available,74,6,,
state_07,78ab2e02787df24bab9b47e43eb0542fbbde14be2fabca2cb9720d8257e8e36d,smooth,970907007,available,74,6,,
state_08,06ca0c5d8d0cb31f50338aee261f6c596974205eb08300b4526361bb949a0c56,smooth,970907008,available,74,6,,
state_09,1d0182481624543fd76f2a61695c7581ef7c8668e44b2d97959d5b285627834e,smooth,970907009,available,74,6,,
state_10,66f2b73ecb6abf41c70d57e46d0e222e2e94b89c45e10c47a9e731b19bf83181,near_singular,970907010,available,74,6,,
state_11,edb82bb2a579031e23761a00f75585d666f99eba5f487dcbcbeb84c0e64816b9,near_singular,970907011,available,74,6,,
state_12,34c7c753da7e4dd43e5997cf038433e8ec22792881ee3a042273d97c786de424,near_singular,970907012,available,74,6,,
state_13,0041eb55dd40437ac17fe39ad8e73df25d7db92ccc7ab532775994d081047948,near_singular,970907013,available,74,6,,
state_14,652db5eb389e7355156299a8e5d39fecb8bc55621d923f9a05f415fc9d4a9f4d,near_singular,970907014,available,74,6,,
state_15,ef3024002329ba92a4d256b11e75d0bcd0359604237894e0ced88c44a81afb52,near_singular,970907015,not_reached,74,0,70,solver_failure
state_16,ec8aefceb5c3201f013492598c3a22130bd573f1c4f1e80ea03dd57faa5e994f,near_singular,970907016,available,74,6,,
state_17,9d31300368dce86a64ae7331dc830816bfd082fd79a577f4a53b0eb5d73e2735,near_singular,970907017,available,74,6,,
state_18,3bfeb80ec3cbe3ef7693197d0bbe1ddb98d7af3fd734dc69e928826901fdb975,near_singular,970907018,available,74,6,,
state_19,fc963508119fc3361e153425664b330fa6223724c4cb2f5bb51e71ca242553c5,near_singular,970907019,available,74,6,,
state_20,7b86c19fb56a762ae62799155036ffdf5710911470fdf55a25792d4173f4a362,joint_limit_return,970907020,available,74,6,,
state_21,be4796d347e87ed43ba39c8181b1f9f194482f8f2a3ebdacfde1ef49996d131f,joint_limit_return,970907021,available,74,6,,
state_22,7ae96a5cac05cbcd87868bdcf802b9be8c313373bd04d5831aea61f149ec0d01,joint_limit_return,970907022,available,74,6,,
state_23,9310ffc5bfdd2b254668c43a676e00ab7e7ee2ea68349d74b82f7e2a4731a397,joint_limit_return,970907023,available,74,5,,
state_24,b468ae9f87de9840ca110b7f553d7a967b0a606cbbe948cba649fbdaa815149a,joint_limit_return,970907024,available,74,4,,
state_25,8b580e2b71283672f3426373cfd7f5a351403cfd71f173def041b44acd44e7c8,joint_limit_return,970907025,available,74,6,,
state_26,a8ae0570c0ff2180ee42cba45405928df376b6123464d613d96c91a714b0ce34,joint_limit_return,970907026,available,74,6,,
state_27,6b566e2d61b274b1a7f3f72ee88c11cf145a31b84341b55e19b9cf79666cd9dc,joint_limit_return,970907027,available,74,6,,
state_28,46aa9a3765a4a0fe80d9ac1fd4a99111fbbc6a0e2b335d23a0ac9dec7d0061c0,joint_limit_return,970907028,available,74,6,,
state_29,4fcff0d41c7272bb64e44e215285e6aad9c49f8ec8dd4869d1ee9ef64e0a1e45,joint_limit_return,970907029,available,74,6,,
state_30,fb66d43222970961a432514784a0323db562ab5e22b9fbe870aaa6f7bf4104eb,high_curvature,970907030,available,74,6,,
state_31,3ad0dc908ceaf3578f01c04f53c252a3b2d12d74acb77a1cda314fc801d1cc21,high_curvature,970907031,available,74,6,,
state_32,e5354f56eaa1cee987b0a545affc453b6102aeee7bfd940caec607c2848f53ef,high_curvature,970907032,available,74,6,,
state_33,9cc25b94bef1d05e0d4366b6d912f2cbebc33b1bae9173de150c19a259c665d9,high_curvature,970907033,available,74,6,,
state_34,28745e75175c62aa8d8d28d7434c9493f2ccdaea4a3da6f1e3fc6552748ce72c,high_curvature,970907034,available,74,6,,
state_35,6371834c79ecbd9dedf78130657821b01a42418cbaebc1a5375d427cabc6caae,high_curvature,970907035,not_reached,74,0,14,solver_failure
state_36,ff3117ccc9acc826ca11b719e2a81e492274866c03b3dccc127f7f4e425e43ca,high_curvature,970907036,available,74,6,,
state_37,d396f1baca7369aabdfa21065ede0b3f178264e9d7acb055f134259b9b2634cb,high_curvature,970907037,available,74,6,,
state_38,d1a048cbc8812f1712532adb1394ba5ae2e1b504ba5c4b694468fe4fa89d9fd5,high_curvature,970907038,available,74,6,,
state_39,268a7b0d901f4883fbe739655c73c30b3e0577301bdd1416eeea179c898f3ade,high_curvature,970907039,available,74,6,,
