robot,method,label,family,trajectories,repeats,completion_by_repeat,mean_completed_trajectories,tsr,deadline_completion_by_repeat,dtsr20,frame_success,frame_deadline_success,p50_ms,p95_ms,p99_ms,cumulative_ms_per_sweep,trajectory_time_mean_ms,trajectory_time_median_ms,trajectory_time_p95_ms,backup_rate,changed_from_backup_rate,p95_position_m,max_position_m,p95_orientation_rad,max_orientation_rad,max_accepted_step_utilization,acceleration_rms_mean,velocity_change_rms_mean,successful_prefix_mean,accepted_contract_violations,optimization_rate,command_change_rate,mean_intervention,all_nodes_verified_rate
panda,pink_qp,Pink QP-IK,high_curvature,10,3,"[9,9,9]",9.0,0.9,"[9,9,9]",0.9,0.9700000000000001,0.9700000000000001,0.9960215,1.0643015,1.3304013300000017,1350.4955439999999,135.04955439999998,141.1423003333333,147.86825795,0.0,0.0,0.0003336244523090731,0.0009538083780688717,0.0006876220242341873,0.008304875900969308,0.9999999999999997,7.430615398119924,0.1486123079623985,145.5,0,0.0,0.0,0.0,0.0
panda,pink_qp,Pink QP-IK,joint_limit_return,10,3,"[10,10,10]",10.0,1.0,"[10,10,10]",1.0,1.0,1.0,1.006723,1.0650621999999998,1.2697096400000005,1408.1027006666664,140.81027006666665,148.12369483333333,153.07151403333333,0.0,0.0,0.00011439073177068548,0.00021513749647973678,0.00020334923127109052,0.0005076675385390474,0.5735095764782464,1.3886328104816574,0.02777265620963315,150.0,0,0.0,0.0,0.0,0.0
panda,pink_qp,Pink QP-IK,near_singular,10,3,"[8,8,8]",8.0,0.8,"[8,8,8]",0.8,0.9626666666666667,0.9626666666666667,1.002127,1.0626840000000002,1.64202022,1409.8439183333332,140.98439183333332,143.229059,153.76595781666666,0.0,0.0,6.481523533665283e-05,0.0009854507257299875,0.0001369977385307731,0.007358452784580322,0.9999999999999981,7.239683370352795,0.1447936674070559,144.4,0,0.0,0.0,0.0,0.0
panda,pink_qp,Pink QP-IK,smooth,10,3,"[10,10,10]",10.0,1.0,"[10,10,10]",1.0,1.0,1.0,1.0029255,1.214490500000001,1.49954956,1418.1278086666666,141.81278086666666,145.12078733333334,156.22687793333333,0.0,0.0,8.874257521999128e-05,0.0001981718022720297,0.00019031372733852576,0.0003579234867976215,0.4952489805131127,0.7588633948120177,0.015177267896240354,150.0,0,0.0,0.0,0.0,0.0
panda,tar_fixed,Same-core fixed compensation,high_curvature,10,3,"[10,10,10]",10.0,1.0,"[10,10,9]",0.9666666666666666,1.0,0.9997777777777778,4.3667965,5.77418265,6.847313390000003,6765.679103000001,676.5679103000001,671.7327585,723.308717,0.018444444444444447,0.9477777777777775,0.0006212709902954864,0.000999781643736306,0.001174024656175177,0.006989033368142169,0.9999999999999968,6.995747107791894,0.1399149421558379,150.0,0,0.9924444444444444,0.9815555555555554,0.0194700078967653,0.9602222222222223
panda,tar_fixed,Same-core fixed compensation,joint_limit_return,10,3,"[9,9,9]",9.0,0.9,"[8,9,9]",0.8666666666666666,0.9486666666666667,0.9484444444444444,4.352003,7.2821368,7.4128193300000005,6646.593018,664.6593018,654.795154,796.6336511499998,0.11844444444444444,0.8031111111111111,0.0004012432894753192,0.0009586906176419733,0.0027563648019189113,0.007517528757973755,0.8763087666744058,2.7902953728367916,0.05580590745673584,142.3,0,0.9919999999999998,0.8302222222222222,0.012468547279104375,0.8306666666666666
panda,tar_fixed,Same-core fixed compensation,near_singular,10,3,"[8,7,8]",7.666666666666667,0.7666666666666667,"[8,6,8]",0.7333333333333333,0.9337777777777778,0.9335555555555556,2.5482815,7.3094506,7.41832708,5262.230708,526.2230708,506.84792516666664,604.4609377166666,0.6035555555555556,0.3142222222222222,0.0006158766592826738,0.0009834176618541447,0.004353556852397736,0.008169865079749766,0.9999999999999968,8.086711963348291,0.1617342392669658,140.03333333333333,0,0.893777777777778,0.33022222222222214,0.0021048609009739995,0.4224444444444444
panda,tar_fixed,Same-core fixed compensation,smooth,10,3,"[10,10,10]",10.0,1.0,"[10,9,10]",0.9666666666666666,1.0,0.9997777777777778,4.3647115,5.83020615,6.306113320000003,6896.992099333334,689.6992099333335,687.472275,729.0051520166666,0.006888888888888887,0.8613333333333332,0.0003679975625204083,0.0008844739827847409,0.0008579535044591243,0.006839952359726892,0.44879616290510177,2.093714409310484,0.0418742881862097,150.0,0,0.993111111111111,0.993111111111111,0.010866768610908052,0.9997777777777778
panda,tar_free,TAR-IK free recourse,high_curvature,10,3,"[10,10,10]",10.0,1.0,"[10,10,9]",0.9666666666666666,1.0,0.9997777777777778,3.385885,5.763021000000001,8.01669813,6026.1802566666665,602.6180256666667,589.2467216666666,694.8307747166665,0.7013333333333335,0.2653333333333333,0.0009445297426232448,0.0009995249175842784,0.005429555719374062,0.00853333301786584,0.9723550781080594,7.442759520526312,0.14885519041052625,150.0,0,1.0,0.29866666666666664,0.0154585453527818,0.0402222222222222
panda,tar_free,TAR-IK free recourse,joint_limit_return,10,3,"[9,9,9]",9.0,0.9,"[8,9,9]",0.8666666666666666,0.9484444444444444,0.9482222222222222,4.451464,7.04919375,7.1528890700000005,6569.553561333333,656.9553561333333,644.6748778333333,793.7342066333332,0.38377777777777783,0.512,0.0009787666485625774,0.00099987746423215,0.006398185173435325,0.008683875738975003,0.9357772706524913,2.62655024248711,0.0525310048497422,142.23333333333332,0,1.0,0.5646666666666668,0.02632353240976152,0.07866666666666669
