robot,method,stage,scope,query_count,invocation_rate,mean_ms,p50_ms,p95_ms,p99_ms
panda,always_local,feature,all_feasible_zero_when_not_invoked,2035,0.0,0.0,0.0,0.0,0.0
panda,always_local,feature,invoked_only,0,0.0,,,,
panda,always_local,gate,all_feasible_zero_when_not_invoked,2035,0.0,0.0,0.0,0.0,0.0
panda,always_local,gate,invoked_only,0,0.0,,,,
panda,always_local,local,all_feasible_zero_when_not_invoked,2035,1.0,0.5435504663390662,0.529549,0.6033343,0.6097996600000001
panda,always_local,local,invoked_only,2035,1.0,0.5435504663390662,0.529549,0.6033343,0.6097996600000001
panda,always_local,robust,all_feasible_zero_when_not_invoked,2035,0.0,0.0,0.0,0.0,0.0
panda,always_local,robust,invoked_only,0,0.0,,,,
panda,always_local,unattributed,all_feasible_zero_when_not_invoked,2035,0.0,0.0,0.0,0.0,0.0
panda,always_local,unattributed,invoked_only,0,0.0,,,,
panda,always_hard,feature,all_feasible_zero_when_not_invoked,2035,0.0,0.0,0.0,0.0,0.0
panda,always_hard,feature,invoked_only,0,0.0,,,,
panda,always_hard,gate,all_feasible_zero_when_not_invoked,2035,0.0,0.0,0.0,0.0,0.0
panda,always_hard,gate,invoked_only,0,0.0,,,,
panda,always_hard,local,all_feasible_zero_when_not_invoked,2035,0.0,0.0,0.0,0.0,0.0
panda,always_hard,local,invoked_only,0,0.0,,,,
panda,always_hard,robust,all_feasible_zero_when_not_invoked,2035,1.0,2.2493737459459457,1.662015,2.0616565000000002,2.5154277
panda,always_hard,robust,invoked_only,2035,1.0,2.2493737459459457,1.662015,2.0616565000000002,2.5154277
panda,always_hard,unattributed,all_feasible_zero_when_not_invoked,2035,0.0,0.0,0.0,0.0,0.0
panda,always_hard,unattributed,invoked_only,0,0.0,,,,
panda,counterfactual_cghik_v4,feature,all_feasible_zero_when_not_invoked,2035,0.0,0.0,0.0,0.0,0.0
panda,counterfactual_cghik_v4,feature,invoked_only,0,0.0,,,,
panda,counterfactual_cghik_v4,gate,all_feasible_zero_when_not_invoked,2035,0.0,0.0,0.0,0.0,0.0
panda,counterfactual_cghik_v4,gate,invoked_only,0,0.0,,,,
panda,counterfactual_cghik_v4,local,all_feasible_zero_when_not_invoked,2035,0.0,0.0,0.0,0.0,0.0
panda,counterfactual_cghik_v4,local,invoked_only,0,0.0,,,,
panda,counterfactual_cghik_v4,robust,all_feasible_zero_when_not_invoked,2035,1.0,2.4713778348894353,1.886723,2.300567,2.7815882800000002
panda,counterfactual_cghik_v4,robust,invoked_only,2035,1.0,2.4713778348894353,1.886723,2.300567,2.7815882800000002
panda,counterfactual_cghik_v4,unattributed,all_feasible_zero_when_not_invoked,2035,0.0,0.0,0.0,0.0,0.0
panda,counterfactual_cghik_v4,unattributed,invoked_only,0,0.0,,,,
panda,hierarchical_cghik_v5,feature,all_feasible_zero_when_not_invoked,2035,1.0,0.29903137100737104,0.298982,0.3073411,0.31261762000000004
panda,hierarchical_cghik_v5,feature,invoked_only,2035,1.0,0.29903137100737104,0.298982,0.3073411,0.31261762000000004
panda,hierarchical_cghik_v5,gate,all_feasible_zero_when_not_invoked,2035,1.0,0.09208508943488942,0.089532,0.10866219999999999,0.12769406
panda,hierarchical_cghik_v5,gate,invoked_only,2035,1.0,0.09208508943488942,0.089532,0.10866219999999999,0.12769406
panda,hierarchical_cghik_v5,local,all_feasible_zero_when_not_invoked,2035,0.7395577395577395,0.4106446294840295,0.550146,0.5695570999999999,0.58234816
panda,hierarchical_cghik_v5,local,invoked_only,1505,0.7395577395577395,0.5552570239202658,0.553586,0.571259,0.58975452
panda,hierarchical_cghik_v5,robust,all_feasible_zero_when_not_invoked,2035,0.26683046683046685,1.086587372972973,0.0,2.2933051,2.740376
panda,hierarchical_cghik_v5,robust,invoked_only,543,0.26683046683046685,4.072201296500921,2.196985,2.5390652999999967,76.24754624000057
panda,hierarchical_cghik_v5,unattributed,all_feasible_zero_when_not_invoked,2035,1.0,0.013475881572481573,0.013287,0.0148913,0.017203620000000003
panda,hierarchical_cghik_v5,unattributed,invoked_only,2035,1.0,0.013475881572481573,0.013287,0.0148913,0.017203620000000003
panda,hierarchical_cghik_v5_lite,feature,all_feasible_zero_when_not_invoked,2035,1.0,0.10753167420147419,0.107308,0.1117773,0.11442468000000001
panda,hierarchical_cghik_v5_lite,feature,invoked_only,2035,1.0,0.10753167420147419,0.107308,0.1117773,0.11442468000000001
panda,hierarchical_cghik_v5_lite,gate,all_feasible_zero_when_not_invoked,2035,1.0,0.08474103783783785,0.08378,0.0995546,0.12014926000000001
panda,hierarchical_cghik_v5_lite,gate,invoked_only,2035,1.0,0.08474103783783785,0.08378,0.0995546,0.12014926000000001
panda,hierarchical_cghik_v5_lite,local,all_feasible_zero_when_not_invoked,2035,0.0,0.0,0.0,0.0,0.0
panda,hierarchical_cghik_v5_lite,local,invoked_only,0,0.0,,,,
panda,hierarchical_cghik_v5_lite,robust,all_feasible_zero_when_not_invoked,2035,1.0,2.242141892383292,1.65699,2.0367906,2.5095880200000003
panda,hierarchical_cghik_v5_lite,robust,invoked_only,2035,1.0,2.242141892383292,1.65699,2.0367906,2.5095880200000003
panda,hierarchical_cghik_v5_lite,unattributed,all_feasible_zero_when_not_invoked,2035,1.0,0.013558902211302211,0.013406,0.0145636,0.01591952000000001
panda,hierarchical_cghik_v5_lite,unattributed,invoked_only,2035,1.0,0.013558902211302211,0.013406,0.0145636,0.01591952000000001
ur5e,always_local,feature,all_feasible_zero_when_not_invoked,2049,0.0,0.0,0.0,0.0,0.0
ur5e,always_local,feature,invoked_only,0,0.0,,,,
ur5e,always_local,gate,all_feasible_zero_when_not_invoked,2049,0.0,0.0,0.0,0.0,0.0
ur5e,always_local,gate,invoked_only,0,0.0,,,,
ur5e,always_local,local,all_feasible_zero_when_not_invoked,2049,1.0,0.5049403094192288,0.486401,0.5515131999999999,0.55847976
ur5e,always_local,local,invoked_only,2049,1.0,0.5049403094192288,0.486401,0.5515131999999999,0.55847976
ur5e,always_local,robust,all_feasible_zero_when_not_invoked,2049,0.0,0.0,0.0,0.0,0.0
ur5e,always_local,robust,invoked_only,0,0.0,,,,
ur5e,always_local,unattributed,all_feasible_zero_when_not_invoked,2049,0.0,0.0,0.0,0.0,0.0
ur5e,always_local,unattributed,invoked_only,0,0.0,,,,
ur5e,always_hard,feature,all_feasible_zero_when_not_invoked,2049,0.0,0.0,0.0,0.0,0.0
ur5e,always_hard,feature,invoked_only,0,0.0,,,,
ur5e,always_hard,gate,all_feasible_zero_when_not_invoked,2049,0.0,0.0,0.0,0.0,0.0
ur5e,always_hard,gate,invoked_only,0,0.0,,,,
ur5e,always_hard,local,all_feasible_zero_when_not_invoked,2049,0.0,0.0,0.0,0.0,0.0
ur5e,always_hard,local,invoked_only,0,0.0,,,,
ur5e,always_hard,robust,all_feasible_zero_when_not_invoked,2049,1.0,1.6781972386530015,1.549174,1.9162412,2.238750599999999
ur5e,always_hard,robust,invoked_only,2049,1.0,1.6781972386530015,1.549174,1.9162412,2.238750599999999
ur5e,always_hard,unattributed,all_feasible_zero_when_not_invoked,2049,0.0,0.0,0.0,0.0,0.0
ur5e,always_hard,unattributed,invoked_only,0,0.0,,,,
ur5e,counterfactual_cghik_v4,feature,all_feasible_zero_when_not_invoked,2049,0.0,0.0,0.0,0.0,0.0
ur5e,counterfactual_cghik_v4,feature,invoked_only,0,0.0,,,,
ur5e,counterfactual_cghik_v4,gate,all_feasible_zero_when_not_invoked,2049,0.0,0.0,0.0,0.0,0.0
ur5e,counterfactual_cghik_v4,gate,invoked_only,0,0.0,,,,
ur5e,counterfactual_cghik_v4,local,all_feasible_zero_when_not_invoked,2049,0.0,0.0,0.0,0.0,0.0
ur5e,counterfactual_cghik_v4,local,invoked_only,0,0.0,,,,
ur5e,counterfactual_cghik_v4,robust,all_feasible_zero_when_not_invoked,2049,1.0,1.891036292337726,1.766122,2.1345423999999995,2.435279639999999
ur5e,counterfactual_cghik_v4,robust,invoked_only,2049,1.0,1.891036292337726,1.766122,2.1345423999999995,2.435279639999999
ur5e,counterfactual_cghik_v4,unattributed,all_feasible_zero_when_not_invoked,2049,0.0,0.0,0.0,0.0,0.0
ur5e,counterfactual_cghik_v4,unattributed,invoked_only,0,0.0,,,,
ur5e,hierarchical_cghik_v5,feature,all_feasible_zero_when_not_invoked,2049,1.0,0.27387829282576864,0.273676,0.282379,0.287576
ur5e,hierarchical_cghik_v5,feature,invoked_only,2049,1.0,0.27387829282576864,0.273676,0.282379,0.287576
ur5e,hierarchical_cghik_v5,gate,all_feasible_zero_when_not_invoked,2049,1.0,0.08859049194729136,0.087672,0.09987399999999999,0.11210731999999998
ur5e,hierarchical_cghik_v5,gate,invoked_only,2049,1.0,0.08859049194729136,0.087672,0.09987399999999999,0.11210731999999998
ur5e,hierarchical_cghik_v5,local,all_feasible_zero_when_not_invoked,2049,0.4182528062469497,0.2113396037091264,0.0,0.5155124,0.52596752
ur5e,hierarchical_cghik_v5,local,invoked_only,857,0.4182528062469497,0.5052915379229872,0.503645,0.5221422,0.5462675599999981
ur5e,hierarchical_cghik_v5,robust,all_feasible_zero_when_not_invoked,2049,0.5866276232308443,1.160641213762811,1.73098,2.1266278,2.468759599999999
ur5e,hierarchical_cghik_v5,robust,invoked_only,1202,0.5866276232308443,1.9784973768718799,2.028627,2.1642605500000003,2.9065069200000018
ur5e,hierarchical_cghik_v5,unattributed,all_feasible_zero_when_not_invoked,2049,1.0,0.013182392386530014,0.013093,0.0139828,0.015049999999999997
ur5e,hierarchical_cghik_v5,unattributed,invoked_only,2049,1.0,0.013182392386530014,0.013093,0.0139828,0.015049999999999997
ur5e,hierarchical_cghik_v5_lite,feature,all_feasible_zero_when_not_invoked,2049,1.0,0.10039671644704734,0.100227,0.10481879999999999,0.10711276
ur5e,hierarchical_cghik_v5_lite,feature,invoked_only,2049,1.0,0.10039671644704734,0.100227,0.10481879999999999,0.10711276
ur5e,hierarchical_cghik_v5_lite,gate,all_feasible_zero_when_not_invoked,2049,1.0,0.08261006100536847,0.082136,0.09356659999999999,0.10668675999999999
ur5e,hierarchical_cghik_v5_lite,gate,invoked_only,2049,1.0,0.08261006100536847,0.082136,0.09356659999999999,0.10668675999999999
ur5e,hierarchical_cghik_v5_lite,local,all_feasible_zero_when_not_invoked,2049,0.041971693509028796,0.021382987798926306,0.0,0.0,0.5172546
ur5e,hierarchical_cghik_v5_lite,local,invoked_only,86,0.041971693509028796,0.5094621162790698,0.5076195,0.57044675,0.5849688000000001
ur5e,hierarchical_cghik_v5_lite,robust,all_feasible_zero_when_not_invoked,2049,0.9604685212298683,1.6107675768667644,1.542954,1.8799458,2.1806163999999995
ur5e,hierarchical_cghik_v5_lite,robust,invoked_only,1968,0.9604685212298683,1.677064413109756,1.5450365000000001,1.88218465,2.2018560699999985
ur5e,hierarchical_cghik_v5_lite,unattributed,all_feasible_zero_when_not_invoked,2049,1.0,0.01302241532454856,0.013092,0.013811,0.014686999999999999
