robot,method,label,family,trajectories,repeats,completion_by_repeat,mean_completed_trajectories,tsr,deadline_completion_by_repeat,dtsr20,frame_success,frame_deadline_success,p50_ms,p95_ms,p99_ms,cumulative_ms_per_sweep,trajectory_time_mean_ms,trajectory_time_median_ms,trajectory_time_p95_ms,p95_position_m,max_position_m,p95_orientation_rad,max_orientation_rad,max_accepted_step_utilization,acceleration_rms_mean,velocity_change_rms_mean,successful_prefix_mean,accepted_contract_violations,edge_fraction,counts,all_frames,all_frame_cumulative_ns,mean_iterations,mean_evaluations,mean_dual_updates,mean_box_qp_updates,mean_verification_calls,mean_backtracking_evaluations
panda,balance_cached_k0,balance_cached_k0,all,40,3,"[39,39,39]",39.0,0.975,"[39,39,39]",0.975,0.9953333333333333,0.9953333333333333,0.2412295,0.26207159999999996,0.49060389999999965,1698.651808,42.466295200000005,36.74919766666666,39.40928484999999,0.0004258555879041617,0.0009910534055108486,0.0005491384047761674,0.008374835164456808,0.9999999999990037,3.0933364484603203,0.061866728969206405,149.3,0,0.009879437374413932,"{""accepted"":17916,""edge"":177,""tight_gap"":1344,""task_first"":17316,""late"":6,""status:native_task_candidate"":17916,""status:no_descent"":12,""status:deadline"":6,""status:stationary"":66,""deadline"":1}",18000,5095955424,1.0701666666666667,2.498666666666667,1.2255,1.359388888888889,1.0,0.3453333333333333
panda,balance_cached_k1,balance_cached_k1,all,40,3,"[40,40,40]",40.0,1.0,"[40,40,40]",1.0,1.0,1.0,0.2412595,0.26154784999999997,0.44098227999999434,1465.3478473333334,36.633696183333335,36.75598733333334,38.83963226666666,0.00043341864564665954,0.0009984198938240677,0.0005515582199189714,0.008318572585554695,0.9999999999990011,3.2143507266172104,0.06428701453234421,150.0,0,0.009333333333333334,"{""accepted"":18000,""edge"":168,""task_first"":17379,""late"":0,""status:native_task_candidate"":18000,""tight_gap"":102}",18000,4396043542,1.0056666666666667,1.9815,0.9815,0.9871666666666666,1.0,0.005666666666666667
panda,balance_progress_k0,balance_progress_k0,all,40,3,"[39,39,39]",39.0,0.975,"[39,39,38]",0.9666666666666666,0.9953333333333333,0.9952777777777778,0.241551,0.26337555,0.44078435999999815,1712.6946009999997,42.817365024999994,36.80498933333333,39.245956866666624,0.0004258555879041617,0.0009910533919098628,0.0005491384047761674,0.008374835164456808,0.9999999999990037,3.093336442493509,0.061866728849870184,149.3,0,0.009879437374413932,"{""accepted"":17916,""edge"":177,""task_first"":17316,""late"":10,""status:native_task_candidate"":17916,""relative_progress"":588,""tight_gap"":781,""status:stationary"":69,""status:deadline"":9,""status:no_descent"":6,""deadline"":2}",18000,5138083803,1.0715,2.485222222222222,1.218888888888889,1.3402777777777777,1.0,0.3395
panda,balance_progress_k1,balance_progress_k1,all,40,3,"[40,40,40]",40.0,1.0,"[40,40,40]",1.0,1.0,1.0,0.241513,0.2616771,0.38172230999999995,1459.5987770000002,36.489969425000005,36.77613816666667,38.033105733333336,0.00043341864564665954,0.0009984198938240677,0.0005515582199189714,0.008318572585554695,0.9999999999990011,3.2143505507515284,0.06428701101503058,150.0,0,0.009333333333333334,"{""accepted"":18000,""edge"":168,""task_first"":17379,""late"":0,""status:native_task_candidate"":18000,""relative_progress"":102}",18000,4378796331,1.0056666666666667,1.9711666666666667,0.9711666666666666,0.9768333333333333,1.0,0.005666666666666667
panda,pink_qp,Pink QP-IK,all,40,3,"[37,37,37]",37.0,0.925,"[37,37,37]",0.925,0.9831666666666666,0.9831666666666666,0.9977595,1.0756536,1.1504853299999998,5530.871343333333,138.27178358333333,142.00048750000002,151.67371738333333,0.00019646269395097397,0.0009854507257299875,0.0003938978506710354,0.008304875900969308,0.9999999999999997,4.204448743441597,0.08408897486883196,147.475,0,0.0005085607730123749,"{""accepted"":17697,""edge"":9,""late"":0,""status:solved inaccurate"":9216,""status:solved"":5268,""status:maximum iterations reached"":3516}",18000,16592614030,1448.0666666666666,,,,,
panda,single_gn_k0,single_gn_k0,all,40,3,"[39,39,39]",39.0,0.975,"[39,39,39]",0.975,0.9953333333333333,0.9953333333333333,0.2664365,0.28799020000000003,0.45812090999999877,1708.276758,42.70691895,40.504548,42.22108686666667,0.0004258555879041617,0.0009910533919098628,0.0005491384047761674,0.008374835164456808,0.9999999999990037,3.093336442493509,0.06186672884987019,149.3,0,0.009879437374413932,"{""accepted"":17916,""edge"":177,""late"":0,""status:task_candidate"":17916,""status:stationary"":84}",18000,5124830274,2.04,4.421333333333333,,1.056,,
panda,single_gn_k1,single_gn_k1,all,40,3,"[40,40,40]",40.0,1.0,"[40,40,40]",1.0,1.0,1.0,0.26595,0.2859851,0.3802012399999993,1603.706114,40.09265285,40.401493,41.82674578333334,0.00043341864564665954,0.0009984198938240677,0.0005515582199189714,0.008318572585554695,0.9999999999990011,3.214350550751528,0.06428701101503057,150.0,0,0.009333333333333334,"{""accepted"":18000,""edge"":168,""late"":0,""status:task_candidate"":18000}",18000,4811118342,1.9711666666666667,3.9423333333333335,,0.9768333333333333,,
panda,task_balance_k0,task_balance_k0,all,40,3,"[39,38,39]",38.666666666666664,0.9666666666666666,"[39,38,39]",0.9666666666666666,0.9952777777777778,0.9952777777777778,0.487655,0.515249,0.8478453799999975,3333.5224586666673,83.33806146666669,73.5578055,80.66657559999997,0.00042585558790290403,0.0009910534055121163,0.0005491384047760561,0.008374835164456852,0.9999999999990037,3.108813166893033,0.06217626333786066,148.70833333333334,0,0.009879988836170807,"{""accepted"":17915,""edge"":177,""late"":25,""status:task_feasible_early"":17315,""status:initial_task_admissible"":600,""status:deadline"":25,""status:stationary"":60}",18000,10000567376,1.0591111111111111,4.522722222222222,1.2012222222222222,1.364,3.2835,0.2624444444444444
panda,task_balance_k1,task_balance_k1,all,40,3,"[39,40,40]",39.666666666666664,0.9916666666666666,"[39,40,40]",0.9916666666666666,0.9999444444444445,0.9999444444444445,0.487049,0.5125233,0.7161775999999999,2943.4894636666663,73.58723659166665,73.58625133333334,79.73310038333332,0.00043358340312934466,0.0009984198938220944,0.0005520327595690083,0.008318572585555207,0.9999999999990011,3.223278427648784,0.06446556855297567,149.45,0,0.009333851880660037,"{""accepted"":17999,""edge"":168,""late"":1,""status:task_feasible_early"":17378,""status:initial_task_admissible"":621,""status:deadline"":1}",18000,8830468391,1.0056666666666667,3.992777777777778,0.9815,0.9871666666666666,2.976777777777778,0.005666666666666667
ur5e,balance_cached_k0,balance_cached_k0,all,40,3,"[40,40,40]",40.0,1.0,"[40,40,40]",1.0,1.0,1.0,0.2305905,0.25025005,0.3547867399999999,1396.9090996666666,34.92272749166666,35.158729,36.63466903333333,0.0003696115013906751,0.0009981123119061075,0.0004945899909159177,0.008642507365255256,0.9999999999990026,5.7443181306305044,0.11488636261261011,150.0,0,0.006666666666666667,"{""accepted"":18000,""edge"":120,""task_first"":17412,""late"":0,""status:native_task_candidate"":18000,""tight_gap"":9}",18000,4190727299,1.0005,1.9688333333333334,0.9688333333333333,0.9733333333333334,1.0,0.0005
